province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:2458,canada__nunavut_64,2458,Nunavut,,,10014.476,,,,,,,,UNASSIGNED_REGION
province:388,turkey__agri,388,Agri,,,9994.995,,,,,,,,UNASSIGNED_REGION
province:1220,costa_rica__puntarenas,1220,Puntarenas,,,9982.836,,,,,,,,UNASSIGNED_REGION
province:889,laos__saravan,889,Saravan,,,9975.425,,,,,,,,UNASSIGNED_REGION
province:123,czech_republic__jiho_esk,123,Jihočeský,,,9966.092,,,,,,,,UNASSIGNED_REGION
province:1013,burkina_faso__oudalan,1013,Oudalan,,,9958.081,,,,,,,,UNASSIGNED_REGION
province:1208,guatemala__alta_verapaz,1208,Alta Verapaz,,,9897.362,,,,,,,,UNASSIGNED_REGION
province:3280,vietnam__l_m_ng,3280,Lâm Đồng,,,9881.085,,,,,,,,UNASSIGNED_REGION
province:2098,nigeria__bayelsa,2098,Bayelsa,,,9879.648,,,,,,,,UNASSIGNED_REGION
province:2849,spain__lugo,2849,Lugo,region:iberia:galicia,macroregion:iberia,9869.089,P3,2100,5,,,,5,OK
province:3645,algeria__khenchela,3645,Khenchela,,,9857.864,,,,,,,,UNASSIGNED_REGION
province:2152,ghana__central,2152,Central,,,9851.64,,,,,,,,UNASSIGNED_REGION
province:346,liberia__gbapolu,346,Gbapolu,,,9829.653,,,,,,,,UNASSIGNED_REGION
province:3372,sweden__orebro,3372,Orebro,,,9820.1,,,,,,,,UNASSIGNED_REGION
province:2594,united_kingdom__north_yorkshire,2594,North Yorkshire,,,9803.581,,,,,,,,UNASSIGNED_REGION
province:101,lithuania__vilniaus,101,Vilniaus,,,9799.391,,,,,,,,UNASSIGNED_REGION
province:2709,sweden__kalmar,2709,Kalmar,,,9763.826,,,,,,,,UNASSIGNED_REGION
province:323,greece__dytiki_makedonia,323,Dytiki Makedonia,,,9739.498,,,,,,,,UNASSIGNED_REGION
province:2372,japan__aomori,2372,Aomori,,,9722.398,,,,,,,,UNASSIGNED_REGION
province:3347,thailand__nakhon_sawan,3347,Nakhon Sawan,,,9706.074,,,,,,,,UNASSIGNED_REGION
province:242,laos__louang_namtha,242,Louang Namtha,,,9691.202,,,,,,,,UNASSIGNED_REGION
province:846,nepal__janakpur,846,Janakpur,,,9685.498,,,,,,,,UNASSIGNED_REGION
province:62,nicaragua__rio_san_juan,62,Rio San Juan,,,9685.169,,,,,,,,UNASSIGNED_REGION
province:2505,myanmar__yangon,2505,Yangon,,,9684.203,,,,,,,,UNASSIGNED_REGION
province:3245,new_zealand__tasman_district,3245,Tasman District,,,9649.34,,,,,,,,UNASSIGNED_REGION
province:1754,spain__huelva,1754,Huelva,region:iberia:lower_andalusia,macroregion:iberia,9643.796,P2,1700,6,,,,6,OK
province:557,austria__k_rnten,557,Kärnten,,,9635.396,,,,,,,,UNASSIGNED_REGION
province:2630,iceland__vesturland,2630,Vesturland,,,9618.696,,,,,,,,UNASSIGNED_REGION
province:1734,uruguay__treinta_y_tres,1734,Treinta y Tres,,,9616.155,,,,,,,,UNASSIGNED_REGION
province:2438,canada__nunavut_44,2438,Nunavut,,,9600.438,,,,,,,,UNASSIGNED_REGION
province:2553,south_korea__south_gyeongsang_4,2553,South Gyeongsang,,,9597.428,,,,,,,,UNASSIGNED_REGION
